recipes_original_name,category
Ebatan,LAUK PAUK BASAH TIDAK BERKUAH
Embes Embes Dages,LAUK PAUK BASAH TIDAK BERKUAH
Entek Entek Dages,LAUK PAUK BASAH TIDAK BERKUAH
Gadon,LAUK PAUK BASAH TIDAK BERKUAH
Gadon Daging,LAUK PAUK BASAH TIDAK BERKUAH
Gadon Tahu,LAUK PAUK BASAH TIDAK BERKUAH
Gagape,LAUK PAUK BASAH TIDAK BERKUAH
Gagape Ajam,LAUK PAUK BASAH TIDAK BERKUAH
Gangsa,LAUK PAUK BASAH TIDAK BERKUAH
Gangsa Asam,LAUK PAUK BASAH TIDAK BERKUAH
Gano,LAUK PAUK BASAH TIDAK BERKUAH
Gantalan,LAUK PAUK BASAH TIDAK BERKUAH
Garang Asam (Bali),LAUK PAUK BASAH TIDAK BERKUAH
Garang Asam (Pati),LAUK PAUK BASAH TIDAK BERKUAH
Garang Asam Buntjis,LAUK PAUK BASAH TIDAK BERKUAH
Getjok,LAUK PAUK BASAH TIDAK BERKUAH
Gudeg,LAUK PAUK BASAH TIDAK BERKUAH
Gudeg Daun Singkong,LAUK PAUK BASAH TIDAK BERKUAH
Gudeg Kol Hidjau,LAUK PAUK BASAH TIDAK BERKUAH
Gudeg Manggar,LAUK PAUK BASAH TIDAK BERKUAH
Gudeg Nangka Muda,LAUK PAUK BASAH TIDAK BERKUAH
Gudeg Pisang Batu,LAUK PAUK BASAH TIDAK BERKUAH
Gudeg Pondoh,LAUK PAUK BASAH TIDAK BERKUAH
Hee Dji Kee,LAUK PAUK BASAH TIDAK BERKUAH
Hee Hie Wee,LAUK PAUK BASAH TIDAK BERKUAH
Ikan Bumbu Bali,LAUK PAUK BASAH TIDAK BERKUAH
Ikan Dalam Kerang,LAUK PAUK BASAH TIDAK BERKUAH
Ikan Ditapa,LAUK PAUK BASAH TIDAK BERKUAH
Ikan Gulung Saos Udang,LAUK PAUK BASAH TIDAK BERKUAH
Ikan Hahiru,LAUK PAUK BASAH TIDAK BERKUAH
Gulai Birah,LAUK PAUK BASAH - BERKUAH
Gulai Daun Singkong,LAUK PAUK BASAH - BERKUAH
Gulai Daun Ubi Tumbuk,LAUK PAUK BASAH - BERKUAH
Gulai Ekor Sapi,LAUK PAUK BASAH - BERKUAH
Gulai Ikan Tongkol,LAUK PAUK BASAH - BERKUAH
Gulai Kantjah,LAUK PAUK BASAH - BERKUAH
Gulai Katak,LAUK PAUK BASAH - BERKUAH
Gulai Katjang Hidjau,LAUK PAUK BASAH - BERKUAH
Gulai Kemamah,LAUK PAUK BASAH - BERKUAH
Gulai Kentang Telur,LAUK PAUK BASAH - BERKUAH
Gulai Kerupuk Djangot,LAUK PAUK BASAH - BERKUAH
Gulai Kol dan Buntjis,LAUK PAUK BASAH - BERKUAH
Gulai Korma,LAUK PAUK BASAH - BERKUAH
Gulai Korma Kambing,LAUK PAUK BASAH - BERKUAH
Gulai Labu Parang,LAUK PAUK BASAH - BERKUAH
Gulai Lemak Kuah Semak,LAUK PAUK BASAH - BERKUAH
Gulai Lemak Telur Itik,LAUK PAUK BASAH - BERKUAH
Gulai Masin,LAUK PAUK BASAH - BERKUAH
Gulai Manis Rebung,LAUK PAUK BASAH - BERKUAH
Gulai Nangka,LAUK PAUK BASAH - BERKUAH
Gulai Otak,LAUK PAUK BASAH - BERKUAH
Gulai Padeh Ajam,LAUK PAUK BASAH - BERKUAH
Gulai Padeh Daun Singkong,LAUK PAUK BASAH - BERKUAH
Gulai Pagar Puri,LAUK PAUK BASAH - BERKUAH
Gulai Pakis,LAUK PAUK BASAH - BERKUAH
Gulai Paria,LAUK PAUK BASAH - BERKUAH
Gulai Parsanga,LAUK PAUK BASAH - BERKUAH
Gulai Pisang,LAUK PAUK BASAH - BERKUAH
Gulai Pliek Ue atau Pataram,LAUK PAUK BASAH - BERKUAH
Gulai Ramas,LAUK PAUK BASAH - BERKUAH
Gulai Ramas Lengkap,LAUK PAUK BASAH - BERKUAH
Gulai Rampon,LAUK PAUK BASAH - BERKUAH
Gulai Rebung Masam,LAUK PAUK BASAH - BERKUAH
Gulai Rebung Teri Basah,LAUK PAUK BASAH - BERKUAH
Gulai Ridiak,LAUK PAUK BASAH - BERKUAH
Gulai Telur,LAUK PAUK BASAH - BERKUAH
Gulai Telur Tapak Liman,LAUK PAUK BASAH - BERKUAH
Gulai Tempe,LAUK PAUK BASAH - BERKUAH
Gulai Tundjang,LAUK PAUK BASAH - BERKUAH
Gulai Welie,LAUK PAUK BASAH - BERKUAH
Gule,LAUK PAUK BASAH - BERKUAH
Gulene Rampaue,LAUK PAUK BASAH - BERKUAH
Kalio Ajam,LAUK PAUK BASAH - BERKUAH
Kalio Daging,LAUK PAUK BASAH - BERKUAH
Kalio Djaring (Djengkol),LAUK PAUK BASAH - BERKUAH
Kalio Hati,LAUK PAUK BASAH - BERKUAH
Kare,LAUK PAUK BASAH - BERKUAH
Kare Ajam,LAUK PAUK BASAH - BERKUAH
Kare Brawidjaja,LAUK PAUK BASAH - BERKUAH
Kare Daun Singkong,LAUK PAUK BASAH - BERKUAH
Kare Kol,LAUK PAUK BASAH - BERKUAH
Kare Penju,LAUK PAUK BASAH - BERKUAH
Kare Terong,LAUK PAUK BASAH - BERKUAH
Kari Makassar,LAUK PAUK BASAH - BERKUAH
Kintuk,LAUK PAUK BASAH - BERKUAH
Lodeh,LAUK PAUK BASAH - BERKUAH
Lodeh Bajam,LAUK PAUK BASAH - BERKUAH
Lodeh Daun Singkong Karet,LAUK PAUK BASAH - BERKUAH
Lodeh Djagung Muda,LAUK PAUK BASAH - BERKUAH
Lodeh Djantung Pisang,LAUK PAUK BASAH - BERKUAH
Lodeh Ikan Tjutjut,LAUK PAUK BASAH - BERKUAH
Lodeh Kol,LAUK PAUK BASAH - BERKUAH
Lodeh Nangka Muda,LAUK PAUK BASAH - BERKUAH
Lodeh Plontjo,LAUK PAUK BASAH - BERKUAH
Lodeh Rebung,LAUK PAUK BASAH - BERKUAH
Lodeh Terong,LAUK PAUK BASAH - BERKUAH
Lodeh Waluh Djipang,LAUK PAUK BASAH - BERKUAH
Mangut Bebek,LAUK PAUK BASAH - BERKUAH
Mangut Ikan,LAUK PAUK BASAH - BERKUAH
Mangut Ikan Panggang,LAUK PAUK BASAH - BERKUAH
Mangut Palembang,LAUK PAUK BASAH - BERKUAH
Masak Hidjau,LAUK PAUK BASAH - BERKUAH
Opor Ajam,LAUK PAUK BASAH - BERKUAH
Opor Bebek,LAUK PAUK BASAH - BERKUAH
Opor Benggala,LAUK PAUK BASAH - BERKUAH
Opor Daging,LAUK PAUK BASAH - BERKUAH
Opor Nangka Muda,LAUK PAUK BASAH - BERKUAH
Opor Pare,LAUK PAUK BASAH - BERKUAH
Pa' Kadonten,LAUK PAUK BASAH - BERKUAH
Pindang Bandeng Ketjap,LAUK PAUK BASAH - BERKUAH
Aron,MAKANAN UTAMA
Arem Arem,MAKANAN UTAMA
Arem Arem Aron,MAKANAN UTAMA
Arem Arem Djagung,MAKANAN UTAMA
Djagung Bose,MAKANAN UTAMA
Djagung Titi,MAKANAN UTAMA
Hutspot,MAKANAN UTAMA
Kapusuk Nosu,MAKANAN UTAMA
Kentang Ongklok,MAKANAN UTAMA
Kentang Puri,MAKANAN UTAMA
Ketupat,MAKANAN UTAMA
Loka Dipeapi,MAKANAN UTAMA
Lontong,MAKANAN UTAMA
Lontong Djagung,MAKANAN UTAMA
Lontong/Ketupat Djagung dengan Beras,MAKANAN UTAMA
Nasi Briani,MAKANAN UTAMA
Nasi Djagung,MAKANAN UTAMA
Nasi Djagung dengan Beras,MAKANAN UTAMA
Nasi Djagung Gaplek,MAKANAN UTAMA
Nasi Djagung Nangka Muda,MAKANAN UTAMA
Nasi Djagung Ubi Kaju,MAKANAN UTAMA
Nasi Golong,MAKANAN UTAMA
Nasi Goreng,MAKANAN UTAMA
Nasi Gurih Djagung,MAKANAN UTAMA
Nasi Kebuli (Palembang),MAKANAN UTAMA
Nasi Kebuli (Medan),MAKANAN UTAMA
Nasi Kukus,MAKANAN UTAMA
Nasi Kukus (dalam Risopan),MAKANAN UTAMA
Nasi Kukus (dalam soblukan),MAKANAN UTAMA
Nasi Kuning,MAKANAN UTAMA
Nasi Liwet,MAKANAN UTAMA
Nasi Punar,MAKANAN UTAMA
Nasi Samin,MAKANAN UTAMA
Nasi Tim,MAKANAN UTAMA
Nasi Tumpang,MAKANAN UTAMA
Nasi Wuduk,MAKANAN UTAMA
Sagu Sagu,MAKANAN UTAMA
Sagu Kelapa,MAKANAN UTAMA
Stamppot Bajam dan Kangkung,MAKANAN UTAMA
Stamppot Kol Putih,MAKANAN UTAMA
Tamales,MAKANAN UTAMA
Tinotuan,MAKANAN UTAMA
Tiwul,MAKANAN UTAMA
Tiwul Djagung,MAKANAN UTAMA
Tortilla,MAKANAN UTAMA
Tortilla Guadalajara,MAKANAN UTAMA
Asem Asem,LAUK PAUK BASAH - BERKUAH
Asem Asem Buntjis,LAUK PAUK BASAH - BERKUAH
Asem Asem Tahu,LAUK PAUK BASAH - BERKUAH
Asem Asem Terong,LAUK PAUK BASAH - BERKUAH
Aunu,LAUK PAUK BASAH - BERKUAH
Brongkos,LAUK PAUK BASAH - BERKUAH
Brongkos Katjang Merah,LAUK PAUK BASAH - BERKUAH
Brongkos Tahu,LAUK PAUK BASAH - BERKUAH
